company,director,genre,name,rating,star,writer
Bay Kinescope,David Mamet,Drama,Oleanna,NOT RATED,William H. Macy,David Mamet
Baltimore Pictures,Barry Levinson,Crime,Jimmy Hollywood,R,Joe Pesci,Barry Levinson
Ardican Films,Michael Austin,Comedy,Princess Caraboo,PG,Phoebe Cates,Michael Austin
Columbia Pictures Corporation,James L. Brooks,Comedy,I'll Do Anything,PG-13,Nick Nolte,James L. Brooks
Universal Pictures,Mel Smith,Comedy,Radioland Murders,PG,Brian Benben,George Lucas
Acme Films Ltd.,Gary Jones,Horror,Mosquito,R,Gunnar Hansen,Tom Chaney
Australian Film Finance Corporation (AFFC),Geoff Burton,Comedy,The Sum of Us,R,Jack Thompson,David Stevens
Percy Main,Mike Figgis,Drama,The Browning Version,R,Albert Finney,Terence Rattigan
Caravan Pictures,Martha Coolidge,Comedy,Angie,R,Geena Davis,Avra Wing
Channel Four Films,Louis Malle,Comedy,Vanya on 42nd Street,PG,Wallace Shawn,Anton Chekhov
British Columbia Film Commission,Mina Shum,Drama,Double Happiness,PG-13,Sandra Oh,Mina Shum
Can I Watch,Rose Troche,Drama,Go Fish,R,V.S. Brodie,Rose Troche
Orion Pictures,Bill Fishman,Comedy,"Car 54, Where Are You?",PG-13,David Johansen,Nat Hiken
Good Machine,Kelly Reichardt,Drama,River of Grass,NOT RATED,Lisa Bowman,Jesse Hartman
British Screen Productions,Brian Gilbert,Biography,Tom & Viv,PG-13,Willem Dafoe,Michael Hastings
Kino Link Company,Michael Almereyda,Drama,Nadja,R,Elina Löwensohn,Michael Almereyda
Ima Films,André Téchiné,Drama,Wild Reeds,NOT RATED,Élodie Bouchez,Olivier Massart
Channel Four Films,Ken Loach,Drama,Ladybird Ladybird,R,Crissy Rock,Rona Munro
Walt Disney Pictures,Xavier Koller,Adventure,Squanto: A Warrior's Tale,PG,Adam Beach,Darlene Craviotto
Cineplex-Odeon Films,Bruce McDonald,Comedy,Dance Me Outside,R,Ryan Rajendra Black,John Frizzell
Canal Plus,Roberto Benigni,Comedy,The Monster,R,Roberto Benigni,Vincenzo Cerami
Abbas Kiarostami Productions,Abbas Kiarostami,Drama,Through the Olive Trees,G,Mohamad Ali Keshavarz,Abbas Kiarostami
Canal+,Hervé Palud,Adventure,"Little Indian, Big City",PG,Thierry Lhermitte,Philippe Bruneau
Metro-Goldwyn-Mayer (MGM),Mick Jackson,Comedy,Clean Slate,PG-13,Dana Carvey,Robert King
Aurora Productions LLC,Leonard Nimoy,Comedy,Holy Matrimony,PG-13,Patricia Arquette,David Weisberg
Neue Constantin Film,Sönke Wortmann,Comedy,Maybe... Maybe Not,R,Til Schweiger,Sönke Wortmann
Capitol Films,Bruce Beresford,Comedy,A Good Man in Africa,R,Colin Friels,William Boyd
Arena Films,Claire Denis,Drama,I Can't Sleep,UNRATED,Yekaterina Golubeva,Jean-Pol Fargeau
Canal+,Bertrand Tavernier,Action,La fille de d'Artagnan,R,Sophie Marceau,Jean Cosmos
Cecchi Gori Pictures,David Fincher,Crime,Se7en,R,Morgan Freeman,Andrew Kevin Walker
TriStar Pictures,Joe Johnston,Action,Jumanji,PG,Robin Williams,Jonathan Hensleigh
Icon Entertainment International,Mel Gibson,Biography,Braveheart,R,Mel Gibson,Randall Wallace
PolyGram Filmed Entertainment,Bryan Singer,Crime,The Usual Suspects,R,Kevin Spacey,Christopher McQuarrie
Warner Bros.,Michael Mann,Action,Heat,R,Al Pacino,Michael Mann
Paramount Pictures,Amy Heckerling,Comedy,Clueless,PG-13,Alicia Silverstone,Amy Heckerling
Walt Disney Pictures,Mike Gabriel,Animation,Pocahontas,G,Mel Gibson,Carl Binder
Universal Pictures,Terry Gilliam,Mystery,Twelve Monkeys,R,Bruce Willis,Chris Marker
Pixar Animation Studios,John Lasseter,Animation,Toy Story,G,Tom Hanks,John Lasseter
Warner Bros.,Joel Schumacher,Action,Batman Forever,PG-13,Val Kilmer,Bob Kane
Eon Productions,Martin Campbell,Action,GoldenEye,PG-13,Pierce Brosnan,Ian Fleming
Universal Pictures,Martin Scorsese,Crime,Casino,R,Robert De Niro,Nicholas Pileggi
Guys Upstairs,Larry Clark,Drama,Kids,UNRATED,Leo Fitzpatrick,Harmony Korine
Carolco Pictures,Paul Verhoeven,Drama,Showgirls,NC-17,Elizabeth Berkley,Joe Eszterhas
Universal Pictures,Brad Silberling,Comedy,Casper,PG,Bill Pullman,Joseph Oriolo
Kôdansha,Mamoru Oshii,Animation,Ghost in the Shell,NOT RATED,Atsuko Tanaka,Shirow Masamune
New Line Cinema,F. Gary Gray,Comedy,Friday,R,Ice Cube,Ice Cube
Castle Rock Entertainment,Richard Linklater,Drama,Before Sunrise,R,Ethan Hawke,Richard Linklater
New Line Cinema,Paul W.S. Anderson,Action,Mortal Kombat,PG-13,Christopher Lambert,Ed Boon
Universal Pictures,Ron Howard,Adventure,Apollo 13,PG,Tom Hanks,Jim Lovell
United Artists,Iain Softley,Comedy,Hackers,PG-13,Jonny Lee Miller,Rafael Moreu
Don Simpson/Jerry Bruckheimer Films,Michael Bay,Action,Bad Boys,R,Will Smith,George Gallo
Cinergi Pictures Entertainment,John McTiernan,Action,Die Hard with a Vengeance,R,Bruce Willis,Jonathan Hensleigh
Universal Pictures,Tamra Davis,Comedy,Billy Madison,PG-13,Adam Sandler,Tim Herlihy
Universal Pictures,Kevin Reynolds,Action,Waterworld,PG-13,Kevin Costner,Peter Rader
Paramount Pictures,Frank Marshall,Action,Congo,PG-13,Laura Linney,Michael Crichton
Columbia Pictures Corporation,Ang Lee,Drama,Sense and Sensibility,PG,Emma Thompson,Jane Austen
Metro-Goldwyn-Mayer (MGM),Barry Sonnenfeld,Comedy,Get Shorty,R,Gene Hackman,Elmore Leonard
Universal Pictures,Rob Reiner,Comedy,The American President,PG-13,Michael Douglas,Aaron Sorkin
Trilogy Entertainment Group,Rachel Talalay,Action,Tank Girl,R,Lori Petty,Alan Martin
Caravan Pictures,Victor Salva,Drama,Powder,PG-13,Mary Steenburgen,Victor Salva
Metro-Goldwyn-Mayer (MGM),Roger Donaldson,Action,Species,R,Natasha Henstridge,Dennis Feldman
Club d'Investissement Média,Marc Caro,Fantasy,The City of Lost Children,R,Ron Perlman,Gilles Adrien
Lumiere Pictures,Mike Figgis,Drama,Adiós a Las Vegas,R,Nicolas Cage,John O'Brien
New Line Cinema,Scott Kalvert,Biography,The Basketball Diaries,R,Leonardo DiCaprio,Jim Carroll
Columbia Pictures Corporation,Robert Rodriguez,Action,Desperado,R,Antonio Banderas,Robert Rodriguez
Caravan Pictures,Steven Brill,Comedy,Heavy Weights,PG,Tom McGowan,Judd Apatow
Monarchy Enterprises B.V.,Allan Moyle,Comedy,Empire Records,PG-13,Anthony LaPaglia,Carol Heikkinen
Universal Pictures,Chris Noonan,Comedy,"Babe, el puerquito valiente",G,James Cromwell,Dick King-Smith
Lightstorm Entertainment,Kathryn Bigelow,Action,Strange Days,R,Ralph Fiennes,James Cameron
Morgan Creek Productions,Steve Oedekerk,Adventure,Ace Ventura: When Nature Calls,PG-13,Jim Carrey,Jack Bernstein
Miramax,Allison Anders,Comedy,Four Rooms,R,Tim Roth,Allison Anders
Canal+,Mathieu Kassovitz,Crime,La Haine,NOT RATED,Vincent Cassel,Mathieu Kassovitz
Hollywood Pictures,Jon Turteltaub,Comedy,While You Were Sleeping,PG,Sandra Bullock,Daniel G. Sullivan
TriStar Pictures,Sam Raimi,Action,Rápida y mortal,R,Sharon Stone,Simon Moore
Universal Pictures,Nick Castle,Adventure,Major Payne,PG-13,Damon Wayans,Joe Connelly
Hollywood Pictures,Danny Cannon,Action,Judge Dredd,R,Sylvester Stallone,John Wagner
Walt Disney Pictures,Kevin Lima,Animation,A Goofy Movie,G,Bill Farmer,Jymn Magon
Universal Pictures,John Carpenter,Horror,Village of the Damned,R,Christopher Reeve,John Wyndham
Broadway Pictures,Peter Segal,Adventure,Tommy Boy,PG-13,Chris Farley,Bonnie Turner
Warner Bros.,Alfonso Cuarón,Drama,A Little Princess,G,Liesel Matthews,Frances Hodgson Burnett
Paramount Pictures,Betty Thomas,Comedy,The Brady Bunch Movie,PG-13,Shelley Long,Sherwood Schwartz
Havoc,Tim Robbins,Crime,Dead Man Walking,R,Susan Sarandon,Helen Prejean
Lancaster Gate,Howard Deutch,Comedy,Grumpier Old Men,PG-13,Walter Matthau,Mark Steven Johnson
Universal Pictures,Beeban Kidron,Comedy,"To Wong Foo Thanks for Everything, Julie Newmar",PG-13,Wesley Snipes,Douglas Carter Beane
New Line Cinema,Lesli Linka Glatter,Comedy,Now and Then,PG-13,Christina Ricci,I. Marlene King
Dualstar Productions,Andy Tennant,Comedy,It Takes Two,PG,Kirstie Alley,Deborah Dean Davis
Regency Enterprises,Jon Amiel,Drama,Copycat,R,Sigourney Weaver,Ann Biderman
Castle Rock Entertainment,Taylor Hackford,Crime,Dolores Claiborne,R,Kathy Bates,Stephen King
Twentieth Century Fox Film Corporation,Bryan Spicer,Action,Mighty Morphin Power Rangers: The Movie,PG,Karan Ashley,John Kamps
Warner Bros.,Wolfgang Petersen,Action,Outbreak,R,Dustin Hoffman,Laurence Dworet
Pandora Filmproduktion,Jim Jarmusch,Drama,Dead Man,R,Johnny Depp,Jim Jarmusch
Hollywood Pictures,Tony Scott,Action,Crimson Tide,R,Gene Hackman,Michael Schiffer
Warner Bros.,Clint Eastwood,Drama,The Bridges of Madison County,PG-13,Clint Eastwood,Richard LaGravenese
Hollywood Pictures,John N. Smith,Biography,Dangerous Minds,R,Michelle Pfeiffer,LouAnne Johnson
Columbia Pictures Corporation,Gus Van Sant,Comedy,To Die For,R,Nicole Kidman,Joyce Maynard
Trimark Pictures,Noah Baumbach,Comedy,Kicking and Screaming,R,Josh Hamilton,Noah Baumbach
Gramercy Pictures (I),Kevin Smith,Comedy,Mallrats,R,Shannen Doherty,Kevin Smith
Halloween VI Productions,Joe Chappelle,Horror,Halloween: The Curse of Michael Myers,R,Donald Pleasence,Debra Hill
Warner Bros.,Geoff Murphy,Action,Under Siege 2: Dark Territory,R,Steven Seagal,Richard Hatem
TriStar Pictures,Robert Longo,Action,Johnny Mnemonic,R,Keanu Reeves,William Gibson
Columbia Pictures Corporation,John Singleton,Crime,Higher Learning,R,Omar Epps,John Singleton
Twentieth Century Fox Film Corporation,Alfonso Arau,Drama,A Walk in the Clouds,PG-13,Keanu Reeves,Robert Mark Kamen
Sweetland Films,Woody Allen,Comedy,Mighty Aphrodite,R,Woody Allen,Woody Allen
Warner Bros.,Richard Donner,Action,Assassins,R,Sylvester Stallone,Lilly Wachowski
Constellation Entertainment,Sydney Pollack,Comedy,Sabrina,PG,Harrison Ford,Samuel A. Taylor
United Artists,Michael Caton-Jones,Adventure,Rob Roy,R,Liam Neeson,Alan Sharp
Columbia Pictures Corporation,Jerry Zucker,Action,First Knight,PG-13,Sean Connery,Lorne Cameron
Gaumont,Mel Brooks,Comedy,Drácula: Muerto pero feliz,PG-13,Leslie Nielsen,Mel Brooks
Beckner/Gorman Productions,Renny Harlin,Action,Cutthroat Island,PG-13,Geena Davis,Michael Frost Beckner
Tales From The Crypt Holdings,Ernest R. Dickerson,Action,Tales from the Crypt: Demon Knight,R,Billy Zane,Ethan Reiff
Columbia Pictures Corporation,Irwin Winkler,Action,The Net,PG-13,Sandra Bullock,John Brancato
Caravan Pictures,Albert Hughes,Action,Dead Presidents,R,Larenz Tate,Allen Hughes
Polygram Filmed Entertainment,Lawrence Kasdan,Comedy,French Kiss,PG-13,Meg Ryan,Adam Brooks
Columbia Pictures Corporation,Frank Oz,Drama,The Indian in the Cupboard,PG,Hal Scardino,Lynne Reid Banks
Hollywood Pictures,Stephen Herek,Drama,Mr. Holland's Opus,PG,Richard Dreyfuss,Patrick Sheane Duncan
Allied Stars Ltd.,Roland Joffé,Drama,The Scarlet Letter,R,Demi Moore,Nathaniel Hawthorne
Eddie Murphy Productions,Wes Craven,Comedy,Vampire in Brooklyn,R,Eddie Murphy,Eddie Murphy
Amblimation,Simon Wells,Animation,Balto,G,Kevin Bacon,Cliff Ruby
Tapestry Films,Michael Gottlieb,Adventure,A Kid in King Arthur's Court,PG,Thomas Ian Nicholas,Michael Part
First Look International,Gregory Widen,Action,The Prophecy,R,Christopher Walken,Gregory Widen
Sandollar Productions,Charles Shyer,Comedy,Father of the Bride Part II,PG,Steve Martin,Albert Hackett
Alliance Communications Corporation,Patricia Rozema,Drama,When Night Is Falling,R,Pascale Bussières,Patricia Rozema
Suburban Pictures,Todd Solondz,Comedy,Welcome to the Dollhouse,R,Heather Matarazzo,Todd Solondz
United Artists,Walter Hill,Action,Wild Bill,R,Jeff Bridges,Peter Dexter
Triumph Films,Christian Duguay,Sci-Fi,Asesinos cibernéticos,R,Peter Weller,Philip K. Dick
Beacon Communications,Melanie Mayron,Comedy,The Baby-Sitters Club,PG,Schuyler Fisk,Ann M. Martin
FIT Productions,Agnieszka Holland,Biography,Total Eclipse,R,Leonardo DiCaprio,Christopher Hampton
Paramount Pictures,Brett Leonard,Action,Virtuosity,R,Denzel Washington,Eric Bernt
Cinergi Pictures Entertainment,Oliver Stone,Biography,Nixon,R,Anthony Hopkins,Stephen J. Rivele
Paramount Pictures,William Friedkin,Crime,Jade,R,David Caruso,Joe Eszterhas
Caravan Pictures,Holly Goldberg Sloan,Comedy,The Big Green,PG,Steve Guttenberg,Holly Goldberg Sloan
Seraphim Films,Clive Barker,Horror,Lord of Illusions,R,Scott Bakula,Clive Barker
Golden Harvest Company,Stanley Tong,Action,Rumble in the Bronx,R,Jackie Chan,Edward Tang
American Playhouse Theatrical Films,Todd Haynes,Drama,Safe,R,Julianne Moore,Todd Haynes
Warner Bros.,Arne Glimcher,Action,Just Cause,R,Sean Connery,John Katzenbach
Universal Pictures,Jocelyn Moorhouse,Comedy,How to Make an American Quilt,PG-13,Winona Ryder,Whitney Otto
Columbia Pictures Corporation,Stacy Title,Comedy,The Last Supper,R,Cameron Diaz,Dan Rosen
Castle Rock Entertainment,Oliver Parker,Drama,Othello,R,Laurence Fishburne,Oliver Parker
Hawn / Sylbert Movie Company,Lasse Hallström,Comedy,Something to Talk About,R,Julia Roberts,Callie Khouri
Twentieth Century Fox Film Corporation,Forest Whitaker,Comedy,Waiting to Exhale,R,Whitney Houston,Terry McMillan
Distant Horizon,Tobe Hooper,Horror,El triturador,R,Robert Englund,Tobe Hooper
Warner Bros.,Marc Rocco,Drama,Murder in the First,R,Christian Slater,Dan Gordon
Alcor Films,Dwight H. Little,Adventure,Free Willy 2: The Adventure Home,PG,Jason James Richter,Keith Walker
Universal Pictures,Peter Hyams,Action,Sudden Death,R,Jean-Claude Van Damme,Karen Elise Baldwin
Twentieth Century Fox Film Corporation,Chris Columbus,Comedy,Nine Months,PG-13,Hugh Grant,Patrick Braoudé
Universal Pictures,Spike Lee,Crime,Clockers,R,Harvey Keitel,Richard Price
Canal+ España,Álex de la Iglesia,Action,The Day of the Beast,R,Álex Angulo,Jorge Guerricaechevarría
Price Entertainment,Pat O'Connor,Drama,Círculo de amigos,PG-13,Chris O'Donnell,Andrew Davies
Walt Disney Pictures,Simon Wincer,Action,Operation Dumbo Drop,PG,Danny Glover,James Morris
All Girl Productions,James Orr,Comedy,Man of the House,PG,Chevy Chase,David E. Peckinpah
Miramax,Gary Fleder,Crime,Things to Do in Denver When You're Dead,R,Andy Garcia,Scott Rosenberg
Dog Eat Dog Films,Michael Moore,Comedy,Canadian Bacon,PG,John Candy,Michael Moore
American Playhouse,Gregory Nava,Drama,My Family,R,Jimmy Smits,Gregory Nava
Walt Disney Pictures,Peter Hewitt,Adventure,Tom and Huck,PG,Jonathan Taylor Thomas,Mark Twain
Union Générale Cinématographique (UGC),Gregg Araki,Action,The Doom Generation,R,James Duval,Gregg Araki
JDI Productions,Tom DiCillo,Comedy,Living in Oblivion,R,Steve Buscemi,Tom DiCillo
Miramax,Wayne Wang,Comedy,Smoke,R,Harvey Keitel,Paul Auster
TriStar Pictures,Carl Franklin,Crime,Devil in a Blue Dress,R,Denzel Washington,Walter Mosley
Miramax,Sean Penn,Drama,The Crossing Guard,R,Jack Nicholson,Sean Penn
Universal Pictures,Kevin James Dobson,Adventure,Gold Diggers: The Secret of Bear Mountain,PG,Christina Ricci,Barry Glasser
Columbia Pictures,Joseph Ruben,Action,Money Train,R,Wesley Snipes,Doug Richardson
Alliance Communications Corporation,Zalman King,Drama,Delta of Venus,R,Audie England,Anaïs Nin
Paramount Pictures,John Badham,Action,Nick of Time,R,Johnny Depp,Patrick Sheane Duncan
Paramount Pictures,Jodie Foster,Comedy,Home for the Holidays,PG-13,Holly Hunter,Chris Radant
Twentieth Century Fox Film Corporation,Barbet Schroeder,Action,Kiss of Death,R,David Caruso,Eleazar Lipsky
Mayfair Entertainment International,Richard Loncraine,Drama,Richard III,R,Ian McKellen,William Shakespeare
40 Acres & A Mule Filmworks,Rusty Cundieff,Crime,Tales from the Hood,R,Clarence Williams III,Rusty Cundieff
Paramount Pictures,Stephen Gyllenhaal,Drama,Losing Isaiah,R,Jessica Lange,Seth Margolis
Alcor Films,Herbert Ross,Comedy,Boys on the Side,R,Whoopi Goldberg,Don Roos
Caravan Pictures,Jeremiah S. Chechik,Adventure,Tall Tale,PG,Patrick Swayze,Steve Bloom
Savoy Pictures,Preston A. Whitmore II,Drama,The Walking Dead,R,Allen Payne,Preston A. Whitmore II
Twentieth Century Fox Film Corporation,Greg Beeman,Adventure,Bushwhacked,PG-13,Daniel Stern,John Jordan
Brothers McMullen Productions,Edward Burns,Comedy,The Brothers McMullen,R,Jack Mulcahy,Edward Burns
Twentieth Century Fox Film Corporation,Sam Weisman,Comedy,Bye Bye Love,PG-13,Matthew Modine,Gary David Goldberg
Warner Bros.,Andrew Sipes,Action,Fair Game,R,William Baldwin,Paula Gosling
Carolco Pictures,Tab Murphy,Adventure,Last of the Dogmen,PG,Tom Berenger,Tab Murphy
Playhouse International Pictures,Philip Haas,Drama,Angels and Insects,R,Mark Rylance,A.S. Byatt
Universal Pictures,Peter Horton,Drama,The Cure,PG-13,Joseph Mazzello,Robert Kuhn
Atlas Entertainment,Patrick Read Johnson,Comedy,Angus,PG-13,Charlie Talbert,Chris Crutcher
Sheen Productions,Sang-ok Shin,Comedy,3 Ninjas Knuckle Up,PG-13,Victor Wong,Alex S. Kim
Available Light Productions,James Mangold,Drama,Heavy,R,Pruitt Taylor Vince,James Mangold
1992 Number Four Limited Partnership,Kelly Makin,Adventure,Senior Trip,R,Matt Frewer,Roger Kumble
Fine Line Features,Maria Maggenti,Comedy,The Incredibly True Adventure of Two Girls in Love,R,Laurel Holloman,Maria Maggenti
A Band Apart,Desmond Nakano,Drama,White Man's Burden,R,John Travolta,Desmond Nakano
Castle Rock Entertainment,Billy Crystal,Comedy,Forget Paris,PG-13,Billy Crystal,Billy Crystal
Metro-Goldwyn-Mayer (MGM),Carlo Carlei,Drama,Fluke,PG,Matthew Modine,James Herbert
PolyGram Filmed Entertainment,Bill Condon,Horror,Candyman: Farewell to the Flesh,R,Tony Todd,Clive Barker
Avenue Pictures,Michael Hoffman,Biography,Restoration,R,Robert Downey Jr.,Rose Tremain
Cantaloupe Production,David Frankel,Comedy,Miami Rhapsody,PG-13,Sarah Jessica Parker,David Frankel
Miramax,Christopher Monger,Comedy,The Englishman Who Went Up a Hill But Came Down a Mountain,PG,Hugh Grant,Ifor David Monger
Fast Films,Abel Ferrara,Horror,The Addiction,UNRATED,Lili Taylor,Nicholas St. John
France 3 Cinéma,Claude Chabrol,Crime,La Cérémonie,NOT RATED,Isabelle Huppert,Ruth Rendell
Miramax,Paul Auster,Comedy,Blue in the Face,R,Harvey Keitel,Paul Auster
Universal Pictures,J.F. Lawton,Action,The Hunted,R,Christopher Lambert,J.F. Lawton
Hollywood Pictures,Randall Miller,Comedy,Houseguest,PG,Sinbad,Michael J. Di Gaetano
Sunshine,Michelangelo Antonioni,Drama,Beyond the Clouds,NOT RATED,Fanny Ardant,Tonino Guerra
TriStar Pictures,Brett Leonard,Fantasy,Hideaway,R,Jeff Goldblum,Dean R. Koontz
Metro-Goldwyn-Mayer (MGM),Don Bluth,Animation,La piedra y el pingüino,G,Martin Short,Rachel Koretsky
TriStar Pictures,John Fortenberry,Comedy,Jury Duty,PG-13,Pauly Shore,Barbara Williams
TriStar Pictures,Peter Hall,Crime,Never Talk to Strangers,R,Rebecca De Mornay,Lewis A. Green
CiBy 2000,Pedro Almodóvar,Drama,The Flower of My Secret,R,Marisa Paredes,Pedro Almodóvar
British Screen Productions,Tim Sullivan,Comedy,Jack & Sarah,PG,Richard E. Grant,Tim Sullivan
BIM Distribuzione,Ken Loach,Drama,Land and Freedom,NOT RATED,Ian Hart,Jim Allen
"Rank Organisation, The",David Price,Comedy,Dr. Jekyll and Ms. Hyde,PG-13,Sean Young,David Price
Touchstone Pictures,Antonia Bird,Drama,Mad Love,PG-13,Chris O'Donnell,Paula Milne
Touchstone Pictures,James Ivory,Biography,Jefferson in Paris,PG-13,Nick Nolte,Ruth Prawer Jhabvala
Paradis Films,Theodoros Angelopoulos,Drama,Ulysses' Gaze,UNRATED,Harvey Keitel,Theodoros Angelopoulos
Bergen,Marleen Gorris,Comedy,Antonia's Line,R,Willeke van Ammelrooy,Marleen Gorris
Touchstone Pictures,Damian Harris,Crime,Bad Company,R,Ellen Barkin,Ross Thomas
40 Acres & A Mule Filmworks,Nick Gomez,Crime,New Jersey Drive,R,Shar-Ron Corley,Nick Gomez
Hollywood Pictures,Peter Chelsom,Comedy,Funny Bones,R,Jerry Lewis,Peter Chelsom
British Broadcasting Corporation (BBC),Mike Newell,Comedy,An Awfully Big Adventure,R,Hugh Grant,Beryl Bainbridge
Polygram Filmed Entertainment,David Anspaugh,Comedy,Moonlight and Valentino,R,Elizabeth Perkins,Ellen Simon
Party Productions,Daisy von Scherler Mayer,Comedy,Party Girl,R,Parker Posey,Harry Birckmayer
Castle Rock Entertainment,John Boorman,Action,Beyond Rangoon,R,Patricia Arquette,Alex Lasker
The Booking Office,Christopher Ashley,Comedy,Jeffrey,R,Steven Weber,Paul Rudnick
Lee Rich Productions,Christopher Cain,Family,The Amazing Panda Adventure,PG,Stephen Lang,John Wilcox
Gramercy Pictures (I),Mario Van Peebles,Drama,Panther,R,Kadeem Hardison,Melvin Van Peebles
Republic Pictures (II),Mark Jones,Comedy,Rumpelstiltskin,R,Max Grodénchik,Mark Jones
Populist Pictures,Steven Soderbergh,Crime,The Underneath,R,Peter Gallagher,Don Tracy
Twentieth Century Fox Film Corporation,Phillip Borsos,Adventure,Far from Home: The Adventures of Yellow Dog,PG,Jesse Bradford,Phillip Borsos
PolyGram Filmed Entertainment,Christopher Hampton,Biography,Carrington,R,Emma Thompson,Christopher Hampton
CiBy 2000,Ulu Grosbard,Drama,Georgia,R,Jennifer Jason Leigh,Barbara Turner
Warner Bros.,John Gray,Adventure,Born to Be Wild,PG,Wil Horneff,Paul Young
Rysher Entertainment,Martha Coolidge,Drama,Three Wishes,PG,Patrick Swayze,Clifford Green
Caravan Pictures,James Melkonian,Comedy,The Jerky Boys,R,John G. Brennan,James Melkonian
"Samuel Goldwyn Company, The",Mira Nair,Comedy,The Perez Family,R,Marisa Tomei,Christine Bell
Live Entertainment,Aaron Norris,Action,Top Dog,PG-13,Chuck Norris,Aaron Norris
Adelaide Motion Picture Company,Mario Andreacchio,Adventure,Napoleon,G,Jamie Croft,Mario Andreacchio
Miramax,James Foley,Drama,Two Bits,PG-13,Al Pacino,Joseph Stefano
Avrora Media,Anthony Waller,Horror,Mute Witness,R,Marina Zudina,Anthony Waller
Cecchi Gori Group Tiger Cinematografica,Giuseppe Tornatore,Drama,The Star Maker,R,Sergio Castellitto,Giuseppe Tornatore
Paramount Pictures,Harold Ramis,Comedy,Stuart Saves His Family,PG-13,Al Franken,Al Franken
Charles Matthau-Jerry Tokofsky-John Davis Productions,Charles Matthau,Drama,The Grass Harp,PG,Piper Laurie,Truman Capote
RAS,Mark Lewis,Comedy,Gordy,G,Kristy Young,Jay Sommers
Breakheart Films,Tim Metcalfe,Biography,Killer: A Journal of Murder,R,James Woods,Thomas E. Gaddis
Neue Deutsche Filmgesellschaft (NDF),Hal Hartley,Drama,Flirt,R,Paul Austin,Hal Hartley
Hachette Première,Jean-Paul Rappeneau,Adventure,The Horseman on the Roof,R,Olivier Martinez,Jean-Claude Carrière
Rysher Entertainment,Jack Baran,Crime,Destiny Turns on the Radio,R,Dylan McDermott,Robert Ramsey
Hollywood Pictures,Peter Yates,Comedy,Roommates,PG,Peter Falk,Max Apple
Castle Rock Entertainment,Kenneth Branagh,Comedy,A Midwinter's Tale,R,Michael Maloney,Kenneth Branagh
Oxford Film Company,Rick Stevenson,Adventure,Magic in the Water,PG,Mark Harmon,Rick Stevenson
Iwerks Entertainment,Jean-Jacques Annaud,Adventure,Wings of Courage,G,Craig Sheffer,Alain Godard
Hollywood Pictures,Diane Keaton,Comedy,Unstrung Heroes,PG,Andie MacDowell,Franz Lidz
Anuline,John Irvin,Comedy,A Month by the Lake,PG,Vanessa Redgrave,H.E. Bates
Cinéa,Benoît Jacquot,Drama,A Single Girl,TV-MA,Virginie Ledoyen,Jérôme Beaujour
Ferdos Films,Jafar Panahi,Drama,The White Balloon,UNRATED,Aida Mohammadkhani,Abbas Kiarostami
Michael Ritchie Productions,Michael Ritchie,Musical,The Fantasticks,PG,Joel Grey,Tom Jones
Interscope Communications,David Madden,Drama,Separate Lives,R,Jim Belushi,Steven Pressfield
Warner Bros.,Jan de Bont,Action,Twister,PG-13,Helen Hunt,Michael Crichton
Channel Four Films,Danny Boyle,Drama,Trainspotting,R,Ewan McGregor,John Hodge
PolyGram Filmed Entertainment,Joel Coen,Crime,Fargo,R,William H. Macy,Ethan Coen
Dimension Films,Wes Craven,Horror,Scream,R,Neve Campbell,Kevin Williamson
Dimension Films,Robert Rodriguez,Action,From Dusk Till Dawn,R,Harvey Keitel,Robert Kurtzman
Twentieth Century Fox Film Corporation,Roland Emmerich,Action,Independence Day,PG-13,Will Smith,Dean Devlin
Bazmark Films,Baz Luhrmann,Drama,Romeo + Juliet,PG-13,Leonardo DiCaprio,William Shakespeare
TriStar Pictures,Danny DeVito,Comedy,Matilda,PG,Danny DeVito,Roald Dahl
Universal Pictures,Dennis Dugan,Comedy,Happy Gilmore,PG-13,Adam Sandler,Tim Herlihy
NDF International,Mira Nair,Crime,Kama Sutra: A Tale of Love,R,Naveen Andrews,Helena Kriel
Astoria Films,Barry Levinson,Crime,Sleepers,R,Robert De Niro,Lorenzo Carcaterra
Miramax,Anthony Minghella,Drama,The English Patient,R,Ralph Fiennes,Michael Ondaatje
TriStar Pictures,Cameron Crowe,Comedy,Jerry Maguire,R,Tom Cruise,Cameron Crowe
Columbia Pictures Corporation,Andrew Fleming,Drama,The Craft,R,Robin Tunney,Peter Filardi
Paramount Pictures,Brian De Palma,Action,Mission: Impossible,PG-13,Tom Cruise,Bruce Geller
Paramount Pictures,Gregory Hoblit,Crime,Primal Fear,R,Richard Gere,William Diehl
Warner Bros. Family Entertainment,Joe Pytka,Animation,Space Jam,PG,Michael Jordan,Leo Benvenuti
Hollywood Pictures,Michael Bay,Action,The Rock,R,Sean Connery,David Weisberg
Imagine Entertainment,James Foley,Drama,Fear,R,Mark Wahlberg,Christopher Crowe
Regency Enterprises,Joel Schumacher,Crime,A Time to Kill,R,Matthew McConaughey,John Grisham
Tim Burton Productions,Tim Burton,Comedy,Mars Attacks!,PG-13,Jack Nicholson,Len Brown
Dimension Films,Kevin Yagher,Horror,Hellraiser: Bloodline,R,Bruce Ramsay,Peter Atkins
Columbia Pictures Corporation,Milos Forman,Biography,The People vs. Larry Flynt,R,Woody Harrelson,Scott Alexander
