company,director,genre,name,rating,star,writer
Svenska Filminstitutet (SFI),Andrei Tarkovsky,Drama,Sacrifice,PG,Erland Josephson,Andrei Tarkovsky
Cinema '85,James Foley,Crime,At Close Range,R,Sean Penn,Elliott Lewitt
Blueline Productions,Peter Markle,Drama,Youngblood,R,Rob Lowe,Peter Markle
Seasonal Film Corporation,Corey Yuen,Action,"No Retreat, No Surrender",PG,Kurt McKinney,See-Yuen Ng
Universal Pictures,Anthony Perkins,Horror,Psicosis III,R,Anthony Perkins,Charles Edward Pogue
Paramount Pictures,Mike Nichols,Comedy,Heartburn,R,Meryl Streep,Nora Ephron
Warner Bros.,Michael Chapman,Adventure,The Clan of the Cave Bear,R,Daryl Hannah,Jean M. Auel
Golan-Globus Productions,Menahem Golan,Action,The Delta Force,R,Chuck Norris,James Bruner
Warner Bros.,Wes Craven,Drama,Deadly Friend,R,Matthew Labyorteaux,Diana Henstell
TriStar Pictures,Edward Zwick,Comedy,About Last Night...,R,Rob Lowe,David Mamet
Balcor Film Investors,Steve Miner,Comedy,Soul Man,PG-13,C. Thomas Howell,Carol Black
A&M; Films,Savage Steve Holland,Comedy,One Crazy Summer,PG,John Cusack,Savage Steve Holland
De Laurentiis Entertainment Group (DEG),Charles Martin Smith,Comedy,Trick or Treat,R,Marc Price,Rhet Topham
Paramount Pictures,Ron Howard,Comedy,Gung Ho,PG-13,Michael Keaton,Edwin Blum
American Filmworks,Sidney Lumet,Crime,The Morning After,R,Jane Fonda,James Cresson
Police Academy Productions,Jerry Paris,Comedy,Police Academy 3: Back in Training,PG,Steve Guttenberg,Neal Israel
40 Acres & A Mule Filmworks,Spike Lee,Comedy,She's Gotta Have It,R,Tracy Camilla Johns,Spike Lee
Touchstone Pictures,Jim Abrahams,Comedy,Ruthless People,R,Bette Midler,Dale Launer
Delphi V Productions,Paul Michael Glaser,Action,Band of the Hand,R,Stephen Lang,Leo Garen
Cannon Group,John Frankenheimer,Crime,52 Pick-Up,R,Roy Scheider,Elmore Leonard
Paramount Pictures,Randa Haines,Drama,Children of a Lesser God,R,William Hurt,Mark Medoff
Columbia Pictures Corporation,Mark L. Lester,Action,Armed and Dangerous,PG-13,John Candy,Brian Grazer
Black Snake,Jim Jarmusch,Comedy,Down by Law,R,Tom Waits,Jim Jarmusch
Orion Pictures,Robert Mandel,Action,F/X,R,Bryan Brown,Robert T. Megginson
Fuji Television Network,Masanori Hata,Adventure,The Adventures of Milo and Otis,G,Kyôko Koizumi,Masanori Hata
Religioso Primitiva,Jonathan Demme,Comedy,Something Wild,R,Jeff Daniels,E. Max Frye
Gladden Entertainment,Marshall Brickman,Sci-Fi,The Manhattan Project,PG-13,John Lithgow,Marshall Brickman
Paramount Pictures,Fred Walton,Horror,April Fool's Day,R,Deborah Foreman,Danilo Bach
Brooksfilms,Alan Johnson,Action,Solarbabies,PG-13,Richard Jordan,Walon Green
Kings Road Entertainment,Jim McBride,Comedy,The Big Easy,R,Dennis Quaid,Daniel Petrie Jr.
Lawrence Gordon Productions,Penny Marshall,Comedy,Jumpin' Jack Flash,R,Whoopi Goldberg,David Franzoni
Carthago Films S.a.r.l.,Roman Polanski,Adventure,Piratas,PG-13,Walter Matthau,John Brownjohn
Meltdown Productions,Jimmy T. Murakami,Animation,When the Wind Blows,Not specified,Peggy Ashcroft,Raymond Briggs
Touchstone Pictures,Jeff Kanew,Comedy,Tough Guys,PG,Burt Lancaster,James Orr
Compañía Iberoamericana de TV,Pedro Almodóvar,Drama,Matador,NC-17,Assumpta Serna,Pedro Almodóvar
New World Pictures,Harley Cokeliss,Action,Black Moon Rising,R,Tommy Lee Jones,John Carpenter
Cinema Group Ventures,Roger Spottiswoode,Comedy,The Best of Times,PG-13,Robin Williams,Ron Shelton
Paragon Arts International,Kevin Tenney,Horror,Witchboard,R,Todd Allen,Kevin Tenney
Touchstone Pictures,Paul Mazursky,Comedy,Down and Out in Beverly Hills,R,Nick Nolte,René Fauchois
Capital Equipment Leasing,Trevor Nunn,Biography,Lady Jane,PG-13,Helena Bonham Carter,Chris Bryant
Columbia Pictures Corporation,Thomas Michael Donnelly,Crime,Quicksilver,PG,Kevin Bacon,Thomas Michael Donnelly
Sunbow Productions,Mike Joens,Animation,My Little Pony: The Movie,G,Danny DeVito,George Arthur Bloom
Virgin Vision,Ken Russell,Horror,Gothic,R,Gabriel Byrne,Lord Byron
Producers Sales Organization (PSO),Hal Ashby,Action,8 Million Ways to Die,R,Jeff Bridges,Lawrence Block
TriStar Pictures,Richard Pearce,Crime,No Mercy,R,Richard Gere,James Carabatsos
Orion Pictures,Gene Wilder,Comedy,Haunted Honeymoon,PG,Gene Wilder,Gene Wilder
Empire Pictures,Ted Nicolaou,Comedy,TerrorVision,R,Diane Franklin,Ted Nicolaou
Golan-Globus Productions,Gary Nelson,Action,Allan Quatermain and the Lost City of Gold,PG,Richard Chamberlain,H. Rider Haggard
HandMade Films,Neil Jordan,Crime,Mona Lisa,R,Bob Hoskins,Neil Jordan
Delphi Films,Garry Marshall,Comedy,Nothing in Common,PG,Tom Hanks,Rick Podell
Cannon Group,J. Lee Thompson,Action,Firewalker,PG,Chuck Norris,Robert Gosnell
Cannon Screen Entertainment,Nicolas Roeg,Adventure,Castaway,R,Oliver Reed,Lucy Irvine
Amaretto Films,Richard Wenk,Comedy,Vamp,R,Chris Makepeace,Donald P. Borchers
British Film Institute (BFI),Derek Jarman,Biography,Caravaggio,Not specified,Noam Almaz,Derek Jarman
Les Films Plain Chant,Leos Carax,Crime,Mauvais Sang,UNRATED,Michel Piccoli,Leos Carax
Paramount Pictures,Duncan Gibbins,Drama,Fire with Fire,PG-13,Craig Sheffer,Bill Phillips
Warner Bros.,Harold Ramis,Comedy,Club Paradise,PG-13,Robin Williams,Harry Shearer
Universal Pictures,Ivan Reitman,Comedy,Legal Eagles,PG,Robert Redford,Ivan Reitman
Thorn EMI Screen Entertainment,Christopher Morahan,Comedy,Clockwise,PG,John Cleese,Michael Frayn
Atlantic Entertainment Group,Robert M. Young,Drama,Extremities,R,Farrah Fawcett,William Mastrosimone
Metro-Goldwyn-Mayer (MGM),Brian De Palma,Comedy,Wise Guys,R,Danny DeVito,George Gallo
Atlantic Entertainment Group,Peter Medak,Drama,The Men's Club,R,David Dukes,Leonard Michaels
DD Productions,Claude Berri,Drama,Jean de Florette,PG,Yves Montand,Claude Berri
Balcor Film Investors,Tom DeSimone,Drama,Reform School Girls,R,Linda Carol,Jack Cummins
DD Productions,Claude Berri,Drama,Manon of the Spring,PG,Yves Montand,Claude Berri
HandMade Films,Jim Goddard,Adventure,Shanghai Surprise,PG-13,Sean Penn,John Kohn
Lorimar Productions,Sidney Lumet,Drama,Power,R,Richard Gere,David Himmelstein
Not specified,Jerry Kramer,Comedy,Modern Girls,PG-13,Daphne Zuniga,Laurie Craig
De Laurentiis Entertainment Group (DEG),Bruce Beresford,Comedy,Crimes of the Heart,PG-13,Diane Keaton,Beth Henley
Cinema VII,John McTiernan,Horror,Nomads,R,Lesley-Anne Down,John McTiernan
Empire Pictures,Peter Manoogian,Action,Eliminators,PG,Andrew Prine,Paul De Meo
TMS Pictures,George Mendeluk,Comedy,Meatballs III: Summer Job,R,Sally Kellerman,Janis Allen
Golan-Globus Productions,J. Lee Thompson,Action,Murphy's Law,R,Charles Bronson,Gail Morgan Hickman
Edward R. Pressman Film,David Byrne,Musical,True Stories,PG,David Byrne,Stephen Tobolowsky
Warner Bros.,Prince,Comedy,Under the Cherry Moon,PG-13,Prince,Becky Johnston
Delphi V Productions,Moshé Mizrahi,Drama,Every Time We Say Goodbye,PG-13,Tom Hanks,Moshé Mizrahi
Goldcrest Films International,Julien Temple,Drama,Absolute Beginners,PG-13,Patsy Kensit,Colin MacInnes
Little Bear,Bertrand Tavernier,Drama,'Round Midnight,R,Dexter Gordon,David Rayfiel
"Cannon Group, The",Sam Firstenberg,Action,Avenging Force,R,Michael Dudikoff,James Booth
Simcom Limited,Paul Lynch,Action,Bullies,R,Jonathan Crombie,John Sheppard
Compact Yellowbill,John Hough,Adventure,Biggles: Adventures in Time,PG,Neil Dickson,W.E. Johns
Lorimar Productions,Albert Magnoli,Drama,American Anthem,PG-13,Mitchell Gaylord,Evan Archerd
Columbia Pictures Corporation,Richard Tuggle,Action,Out of Bounds,R,Anthony Michael Hall,Tony Kayden
Crown International Pictures,David Beaird,Comedy,My Chauffeur,R,Deborah Foreman,David Beaird
Rastar Pictures,Gene Saks,Comedy,Brighton Beach Memoirs,PG-13,Blythe Danner,Neil Simon
Ministère de la Culture et de la Communication,Éric Rohmer,Drama,Summer,R,Marie Rivière,Marie Rivière
Cannon Group,Paul Nicholas,Drama,The Naked Cage,R,Shari Shattuck,Paul Nicholas
Cannon Screen Entertainment,Richard Franklin,Horror,Link,R,Terence Stamp,Lee David Zlotoff
Edward R. Pressman Film,Bob Swaim,Thriller,Half Moon Street,R,Sigourney Weaver,Edward Behr
Aaron Spelling Productions,Tom Moore,Drama,"'night, Mother",PG-13,Sissy Spacek,Marsha Norman
Blake Edwards,Blake Edwards,Action,A Fine Mess,PG,Ted Danson,Blake Edwards
Chroma III Productions,Mark Griffiths,Comedy,Hardbodies 2,R,James Karen,Mark Griffiths
Fons Rademakers Produktie,Fons Rademakers,Drama,The Assault,PG,Derek de Lint,Gerard Soeteman
Griffon Productions,Paul Schneider,Comedy,Willy/Milly,PG-13,Pamela Adlon,Alan Friedman
Heron Communications,Janet Greek,Drama,The Ladies Club,R,Karen Austin,Casey Bishop
Delphi V Productions,Stuart Rosenberg,Action,Let's Get Harry,R,Michael Schoeffling,Mark Feldberg
De Laurentiis Entertainment Group (DEG),Daryl Duke,Adventure,Tai-Pan,R,Bryan Brown,John Briley
Scary Stuff,Jeffrey Delman,Comedy,Deadtime Stories,R,Scott Valentine,Jeffrey Delman
Escalante Productions,Dick Richards,Action,Heat,R,Burt Reynolds,William Goldman
Kings Road Entertainment,Robert Mandel,Comedy,Touch and Go,R,Michael Keaton,Alan Ormsby
Canadian Broadcasting Corporation (CBC),Charles Jarrott,Biography,The Boy in Blue,R,Nicolas Cage,Douglas Bowie
Universal Pictures,Alan Alda,Comedy,Sweet Liberty,PG,Alan Alda,Alan Alda
Marquis,William Fruet,Comedy,Killer Party,R,Martin Hewitt,Barney Cohen
Rondo Productions,Bill Sherwood,Drama,Parting Glances,Not specified,John Bolger,Bill Sherwood
Nelvana,Dale Schott,Animation,Care Bears Movie II: A New Generation,G,Maxine Miller,Peter Sauder
Columbia Pictures Corporation,Richard Pryor,Biography,"Jo Jo Dancer, Your Life Is Calling",R,Richard Pryor,Rocco Urbisci
Balcor Film Investors,Andrew Lane,Action,Jake Speed,PG,Wayne Crawford,Wayne Crawford
Cinema Group Ventures,Renny Harlin,Action,Born American,R,Mike Norris,Renny Harlin
Paramount Pictures,Michelle Manning,Action,Blue City,R,Judd Nelson,Ross Macdonald
Cascade Films,Nadia Tass,Comedy,Malcolm,PG-13,Colin Friels,David Parker
Miramax,Bob Weinstein,Comedy,Playing for Keeps,PG-13,Daniel Jordano,Bob Weinstein
Golan-Globus Productions,Andrey Konchalovskiy,Drama,Duet for One,R,Julie Andrews,Tom Kempinski
Island Pictures,Evelyn Purcell,Comedy,Nobody's Fool,PG-13,Rosanna Arquette,Beth Henley
Paramount Pictures,John Byrum,Comedy,The Whoopee Boys,R,Michael O'Keefe,Steve Zacharias
Blake Edwards,Blake Edwards,Comedy,That's Life!,PG-13,Jack Lemmon,Milton Wexler
Hemdale,Hal Needham,Comedy,Body Slam,PG,Dirk Benedict,Shel Lytton
"Rank Organisation, The",David Drury,Thriller,Defense of the Realm,PG,Gabriel Byrne,Martin Stellman
Cinequanon,Eliseo Subiela,Drama,Man Facing Southeast,R,Lorenzo Quinteros,Eliseo Subiela
Corporation Image M & M,Denys Arcand,Comedy,The Decline of the American Empire,R,Dominique Michel,Denys Arcand
